nonzero pixels,mean brightness,center of mass,type,energy
0.027994791666666668,118.11531007751938,23.044405387246684,0,30
0.005235460069444444,108.13471502590673,2.8813601478547732,0,3
0.004774305555555556,108.2215909090909,2.499412379287483,0,3
0.009847005208333334,115.4573002754821,1.740942215359519,0,10
0.004421657986111111,107.6441717791411,1.7736853094476988,0,3
0.005832248263888889,107.91162790697675,3.832583540218374,0,3
0.006293402777777778,108.46120689655173,8.131508643423663,0,3
0.009575737847222222,116.93767705382436,6.058372862583585,0,10
0.010172526041666666,115.66133333333333,1.3576450198781624,0,10
0.029432508680555556,118.49585253456222,21.267426394099594,0,30
0.005940755208333333,109.10502283105023,4.9210526770587215,0,3
0.010877821180555556,117.60349127182045,4.476597494173869,0,10
0.010986328125,116.67901234567901,6.188661697627508,0,10
0.006374782986111111,108.3531914893617,2.394085060623612,0,3
0.032280815972222224,115.14789915966387,54.50096952327979,0,30
0.023573133680555556,120.49367088607595,17.45276556603811,0,30
0.035807291666666664,115.79166666666667,28.40073917641508,0,30
0.010498046875,114.56072351421189,4.975443305767862,0,10
0.009412977430555556,114.39193083573487,3.64205960429906,0,10
0.010036892361111112,115.4972972972973,10.999356180109695,0,10
0.006266276041666667,109.16017316017316,4.60164200716681,0,3
0.005235460069444444,107.27461139896373,5.187669717555812,0,3
0.025689019097222224,117.79936642027455,35.07078321583163,0,30
0.011203342013888888,115.34140435835351,8.181666495596723,0,10
0.005018446180555556,107.2,0.9862902433461492,0,3
0.027072482638888888,120.10320641282566,21.954922098312128,0,30
0.006591796875,109.8641975308642,1.9548884494871297,0,3
0.032660590277777776,115.90199335548172,33.84534211072188,0,30
0.009792751736111112,116.8005540166205,2.500618012791825,0,10
0.009792751736111112,116.86703601108033,4.531863575094,0,10
0.024359809027777776,120.60356347438753,17.74231441456033,0,30
0.031684027777777776,114.89212328767124,42.47169813809142,0,30
0.009982638888888888,117.66304347826087,4.786325908439142,0,10
0.007025824652777778,109.45559845559846,4.8083063939912964,0,3
0.009087456597222222,116.54029850746268,1.6091130540371539,0,10
0.005615234375,108.11111111111111,2.124159588382782,0,3
0.036187065972222224,113.50974512743628,23.58876046096976,0,30
0.005913628472222222,108.61926605504587,1.1275916103928332,0,3
0.006510416666666667,109.90416666666667,2.1099055402763596,0,3
0.024658203125,120.25522552255225,12.630367444025234,0,30
